variant,model_sha256,base_m,nodes,elements,service_gravity_kN,service_vertical_mm,x100_mm,y100_mm,mass_kN_s2_m,period_1_s,period_2_s,period_3_s,static_case_count,mode_count,all_solver_diagnostics_passed
baseline,4bbd0bdc5562145ba76a54db0a19d7686d657e160d99eda9b9ed190e0ee081ad,-1.8,11615,11947,11878.409080357955,3.0484391827148887,0.11938169230531176,0.07057159181770771,1065.2115323625178,0.18202385961501108,0.15043903209786716,0.12078008028093137,19,12,True
repeat,4bbd0bdc5562145ba76a54db0a19d7686d657e160d99eda9b9ed190e0ee081ad,-1.8,11615,11947,11878.409080357955,3.0484391827148887,0.11938169230531176,0.07057159181770771,1065.2115323625178,0.18202385961501108,0.15043903209786716,0.12078008028093137,19,12,True
mesh050,2a06f1a604c83730e69f305ecf62a6f63472f93004d48b682f2647f3fc2a00e3,-1.8,15555,15856,11878.409080357786,3.0741565655521215,0.11979551556411677,0.0704853084788876,1065.2115323625178,0.18225748089566646,0.1501759155425469,0.12077211323449065,19,12,True
equipment-high,90f3dda50013745de48b4db8fca570e01b95c3606ae6550d8b81a7ecc2b3fe62,-1.8,11615,11947,11902.702272732948,3.0498927748528533,0.11938169230531176,0.07057159181770771,1067.6887485754958,0.18229354561880803,0.15072394500157638,0.12103787341460855,19,12,True
base-deeper,bae6cc6d764c2f7dfcc876b14076cb26c5b33c03fa9c5ee464103f4bdb8c2368,-2.1,11615,11947,11960.158600357994,3.066550188101656,0.12459450206433294,0.0736404856649511,1073.547663457234,0.18660303926159955,0.15452877862321546,0.12410206364246532,19,12,True
