node,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,x_m,y_m,z_m,source_names,source_guids,status
11504,0.10702108462917984,2.402158741065176,4.110981000637959,-0.013916067904453218,0.015419180589858826,0.00022012920649035054,6.335,3.9,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11505,0.1984152516778814,0.5151750566962352,10.752081729556053,-0.04174820371335945,0.029663267070609373,0.0006009752108273694,6.335,4.0,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11506,-0.007997447117629619,0.6869000755949837,13.60629750394775,-0.055664271617812205,-0.0013316446424080502,0.0008013002811031052,6.335,4.2,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11507,-0.18350819254489353,0.4722438019715558,8.877671418408253,-0.038269186737245546,-0.027616997839383872,0.0005508939432584043,6.335,4.4,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11508,-0.10761291923772648,0.1717250188987498,3.118772431829409,-0.013916067904452847,-0.016174944779349835,0.0002003250702758236,6.335,4.475,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11509,-0.030310118759698843,-1.7934042742932084,0.35308842746385094,-0.0034790169761132585,-0.003953794326550392,3.027713135442031e-05,6.335,4.5,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11510,-0.15112128958716878,6.746058570692646,11.63072151634661,-0.03586838770010635,-0.10671804016772973,-0.022279716396679507,6.245,4.5,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11511,-0.45194930617547435,0.30681124015543215,12.775198431111418,-0.032924246081526,-0.056953629129658886,0.025360195445163332,6.245,4.6,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11512,-0.4018978127205109,0.06910539553799033,15.280969536389089,-0.04250506023487324,-0.07972410015321157,0.010407654725219899,6.245,4.625,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11513,-0.46294791554345527,0.6991055091297609,21.535624553439025,-0.06747868960409886,-0.11971090146900806,0.00902977392479841,6.245,4.75,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11514,-0.5684274321701893,3.380005309478883,44.544883228940705,-0.1599056422698033,-0.2599527109466058,0.008326147506066275,6.245,4.85,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11515,-0.3995468211173269,6.6281485781661615,63.85436894442289,-0.27826164533343223,-0.3966468501289221,0.018949135805084744,6.245,5.25,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11516,-0.19810241495147768,6.242041893987658,44.742217446029784,-0.2319975762256094,-0.3244071215944247,0.02487631735237267,6.245,5.61,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11517,-0.12182392690620149,4.43470323497037,24.140470445586498,-0.1352394657391136,-0.19699272333031842,0.020367415086364606,6.245,5.8,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11518,-0.05221110328127479,3.3575906360909578,18.714906071885164,-0.11531623713169126,-0.1638920619410834,0.016812949157337338,6.245,5.9,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11519,-0.10597985428220051,4.274105902864074,25.192738194955986,-0.170813519298892,-0.23000240598251687,0.012341421788299639,6.245,6.025,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11520,-0.4477060778514391,11.528061186085823,71.00193955959543,-0.4458052142172048,-0.7020499881626576,0.02883040588150501,6.245,6.19,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11521,-0.4829534383523319,9.38592952253947,71.98359064964163,-0.36078099716251844,-0.7373375364147916,0.025586540373157433,6.245,6.8,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11522,-0.17821504893730816,2.4438424208764227,25.75446848852968,-0.0958318256676639,-0.27234726762708905,0.007697798760947387,6.245,6.925,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11523,-0.5399858802813388,4.771893932439577,74.40589410705581,-0.1934869547556733,-0.805373017363435,0.013152751935983878,6.245,7.05,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11524,-0.9449132326461414,3.8930864685262208,123.9888892110489,-0.15947932653165034,-1.365846195855851,0.0021752263216302664,6.245,7.6325,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11525,-0.9040360684967617,-0.10082170404650714,123.78812044941444,0.00019875208878342154,-1.3078804345406985,-0.024661941928124244,6.245,8.215,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11526,-0.7425856019144768,-3.006327901432787,122.0834090601268,0.11740198717378152,-1.1258871316856247,-0.04619183272294798,6.245,8.7975,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11527,-0.41996864203453427,-3.8041699798034863,89.99941914677828,0.15053691084412027,-0.6784306440398444,-0.04402876612655579,6.245,9.38,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11528,-0.16171924008828958,-3.323249003080636,58.93945041291364,0.1317423318175227,-0.34277951611989516,-0.034358609555069905,6.245,9.67,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11529,0.004942800455973145,-7.20594779207304,100.90122150345813,0.2888217364136412,-0.417480327930542,-0.04269854500152229,6.245,9.96,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11530,-0.8016389533716205,-12.616881501419826,139.17690591335696,0.47308519795719695,-0.41056903972166703,-0.03378781668918714,6.245,10.68,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11531,-1.1436650923128184,-11.927545656796017,68.18513679482007,0.1834383552966753,-0.21318480794587003,-0.006540077121816252,6.245,11.4,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11532,-0.020528325562349032,1.408738226859915,0.32016253879923967,0.004145362364092142,-0.0025739668649662328,-0.0001526752228826294,6.335,11.4,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11533,-0.04015224826057505,-0.09525133062943292,1.613294317007745,0.008981618455532997,-0.005906353788448137,-9.782941496988482e-05,6.335,11.43,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11534,-0.036073892634471943,-0.10257835606245802,1.7729273224719788,0.009672512182881638,-0.005285640179099327,-0.00010535475458294927,6.335,11.465,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11535,-0.03486234214268641,-0.13188645779460928,2.336585304527848,0.012436087092276272,-0.005068066543596641,-0.00013545611303524043,6.335,11.5,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11536,-0.0233439651839095,-0.1318864577946144,2.393692623020299,0.012436087092276272,-0.003340309999780084,-0.00013545611303523858,6.335,11.555,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11537,-0.009385419948985608,-0.1831756358258234,3.438787724512906,0.017272343183717027,-0.0011838063565057712,-0.00018813349032670415,6.335,11.59,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11538,0.004760874595507934,-1.840427624098798,2.9475707165509473,0.012436087092276244,0.0004238955903484272,-2.7932927831016505e-05,6.335,11.68,-1.8,SW-STAIR-W-BASE,2u0XIlHdzHSxUvqowNFytD,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11539,7.009846889025997,-0.10442337695652905,9.56303564365745,-0.07087511465239349,0.039549235959813925,0.006413473437942205,6.37,3.625,-1.8,SW-STAIR-S-BASE,1tUscgKnLVH8SzJVul76Er,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11540,4.091786674574722,1.721372512587171,54.43039499101579,-0.49056222360423407,0.21396940515509819,-0.012389498128547307,6.42,3.625,-1.8,SW-STAIR-S-BASE,1tUscgKnLVH8SzJVul76Er,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11541,3.8177287350015003,1.6524099457587003,105.36018294386224,-0.8013049452213624,0.20340021521566382,-0.029997618055547265,6.77,3.625,-1.8,SW-STAIR-S-BASE,1tUscgKnLVH8SzJVul76Er,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11542,-0.355682674389306,0.7911921334254537,115.11091907355066,-0.7667480058239418,0.0036476314563071224,-0.013249372457203229,7.235,3.625,-1.8,SW-STAIR-S-BASE,1tUscgKnLVH8SzJVul76Er,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11543,-2.7252021118967136,0.5097877473963116,88.47463406153238,-0.5742738736973265,-0.10334664142031252,-0.003050236322938618,7.7,3.625,-1.8,SW-STAIR-S-BASE,1tUscgKnLVH8SzJVul76Er,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11544,-6.279998287830045,0.5391110613245729,107.00177378579,-0.749662322356587,-0.2489907319657742,0.018680382164790205,7.97,3.625,-1.8,SW-STAIR-S-BASE,1tUscgKnLVH8SzJVul76Er,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11545,-14.083391987100423,2.6449106671106533,150.70241464764598,-1.4055274764383128,-0.6211521267339152,0.08675022483869581,8.61,3.625,-1.8,SW-STAIR-S-BASE,1tUscgKnLVH8SzJVul76Er,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11546,-16.809269023496995,3.098343150379814,83.55910737000639,-1.0177357364659967,-0.5098383503363682,0.01881839537985914,9.25,3.625,-1.8,SW-STAIR-S-BASE,1tUscgKnLVH8SzJVul76Er,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11547,5.399421373684661,-0.057989495531296835,4.77348843574807,0.10121058799642735,-0.004496754314186746,0.005871969405835953,6.37,11.555,-1.8,SW-STAIR-N-BASE,3Susfu0UHOHfiL8PAB1l_e,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11548,-0.5198533767075615,-1.3337507101036388,37.37235749370372,0.3222034600274675,-0.026953150625262275,-0.028834739944803164,6.42,11.555,-1.8,SW-STAIR-N-BASE,3Susfu0UHOHfiL8PAB1l_e,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11549,-2.039582716435064,-1.5805728960975898,75.22696874809631,0.6184896463154809,-0.08409146222057644,0.01750270325327456,6.77,11.555,-1.8,SW-STAIR-N-BASE,3Susfu0UHOHfiL8PAB1l_e,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11550,-4.024548214178539,-0.7961294540672379,83.82024272570163,0.5415224859349113,-0.1588136215340749,0.03427064157623305,7.235,11.555,-1.8,SW-STAIR-N-BASE,3Susfu0UHOHfiL8PAB1l_e,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11551,-4.422311639038174,-0.3281454079268792,64.91346313978158,0.339304288515321,-0.17577467057865578,0.015600064445157116,7.7,11.555,-1.8,SW-STAIR-N-BASE,3Susfu0UHOHfiL8PAB1l_e,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11552,-7.261499312260118,-0.2276843960304614,78.92234407917226,0.40894086749869213,-0.29064500285900885,-0.010718235821535818,7.97,11.555,-1.8,SW-STAIR-N-BASE,3Susfu0UHOHfiL8PAB1l_e,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11553,-13.495014502563322,-1.8210350901942158,112.11766683638507,0.8741911444167649,-0.5863629183909922,-0.08159532305733147,8.61,11.555,-1.8,SW-STAIR-N-BASE,3Susfu0UHOHfiL8PAB1l_e,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11554,-13.909273517521399,-2.376967874866959,63.227368177969055,0.7155358265596744,-0.4375320730928759,-0.03277046384083055,9.25,11.555,-1.8,SW-STAIR-N-BASE,3Susfu0UHOHfiL8PAB1l_e,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11555,-1.286796021495625,8.374522812185198,22.72221704761507,-0.13811643522566713,-0.23876461751886216,0.025486979959375256,9.375,3.5,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11556,-1.939408156622184,3.7463522928272113,34.683680250745624,-0.21785805397940905,-0.5219173823800661,-0.08486741064065484,9.375,3.625,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
